scorer,,,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation,annotation
individuals,,,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse1,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2,mouse2
bodyparts,,,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd,topleft,topleft,rightdown,rightdown,nose,nose,leftear,leftear,rightear,rightear,leftHip,leftHip,rightHip,rightHip,tailBase,tailBase,tailEnd,tailEnd
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_1076.png,235.0087604175184,187.39317491121764,481.7713439540003,315.30222050581585,418.38279038499576,211.16388249959422,399.13983662297653,211.16388249959422,445.54931334314057,206.6361286732367,400.27177507956594,292.66345137402857,467.0561440183385,275.684374525188,418.38279038499576,301.7189590267435,251.98783726635892,302.85089748333303,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_286.png,234.60483979437058,204.14698358385942,457.6013604657909,307.42958263167503,439.6051500256412,300.3875872420512,455.25402866924964,232.31496514235448,413.7845002636873,241.70429232851956,384.83407477301165,250.31117558250423,353.53631748579477,259.7005027686693,337.8874388421863,254.2233952434064,245.55905484489648,262.8302784973911,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_352.png,225.2155126082055,80.5208422993527,288.5934711148197,222.92563795618952,249.4712745057986,100.86438453604367,240.0819473196335,85.99794982461566,261.2079334885049,88.34528162115691,233.82239586219015,159.54767944957536,263.5552652850462,153.28812799213193,254.94838203106156,172.84922629664254,285.46369538609804,221.36075009182866,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_613.png,315.97900874113446,182.23855348280756,387.9638505017333,244.83406805724127,384.0516308408312,204.92942751603977,362.92564467195984,188.49810494025093,377.79207938338783,190.06299280461172,323.0210041307583,201.7996517873181,353.53631748579477,218.23097436310695,323.8034480629387,215.8836425665657,328.49811165602125,245.61651198942172,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_753.png,146.97111939016332,216.6660864987462,362.1432007397794,330.90290059708775,164.1848858981326,223.70808188837003,192.3528674566278,217.4485304309266,193.1353113888082,216.6660864987462,224.4330686760251,311.34180229257726,279.9865878608351,273.78449354791695,295.6354665044435,298.82269937769047,359.01342501105773,284.7387085984428,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_828.png,156.36044657632837,208.841647176942,265.9025970815875,308.994470496036,204.87197037151455,301.95247510641224,241.64683518399443,238.57451659979802,191.57042352444736,235.44474087107636,258.07815775978327,233.87985300671545,196.2650871175299,224.49052582055043,187.65820386354525,245.61651198942184,160.27266623723048,258.1356149043086,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_face_view_3_2022-08-10_15-39-01_939.png,349.62409782489266,101.64682846822402,404.39517307752214,230.75007727799368,393.44095802699627,104.7766041969457,377.00963545120743,103.99416026476527,395.0058458913571,112.60104351874992,355.883649282336,160.3301233817557,391.093626230455,168.15456270355992,368.40275219722275,187.71566100807047,360.57831287541853,231.53252121017414,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_152.png,108.63136671332263,202.58209571949868,245.55905484489648,283.1738207340821,197.82997498189073,268.3073860226541,239.29950338745311,229.96763334581334,199.39486284625158,222.14319402400918,228.3452883369272,215.10119863438536,184.52842813482357,246.39895592160224,176.70398881301935,229.9676333458134,120.36802569602897,247.18139985378275,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_270.png,395.7882898235375,212.753866837844,499.8533328035337,283.1738207340819,402.04784128098095,245.61651198942172,431.780710703837,222.92563795618946,431.780710703837,223.70808188836986,474.0326830415798,248.74628771814332,474.0326830415798,248.74628771814332,485.7693420242861,260.48294670084965,470.1204633806777,283.95626466626237,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_369.png,150.10089511888498,206.49431538040074,353.53631748579477,262.0478345652106,157.14289050850877,251.0936195146848,164.967329830313,215.8836425665658,164.967329830313,215.8836425665658,222.86818081166425,238.57451659979802,222.86818081166425,238.57451659979802,243.99416698053562,244.83406805724138,352.7538735536143,251.8760634468651,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_420.png,55.42517932505392,223.7080818883701,247.12394270925734,314.47157802129897,75.7687215617449,280.82648893754094,67.94428223994066,265.9600542261129,85.94049268009037,263.61272242957165,98.45959559497713,298.0402554455102,162.61999803377174,262.04783456521074,174.35665701647807,283.95626466626254,231.4750640656489,279.26160107318,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_438.png,63.24961939305482,190.0629928046121,226.78040121876305,323.8609052074647,82.02827376538494,217.44853043092692,73.4213905114003,206.494315380401,96.11226454463254,203.36453965167934,73.4213905114003,251.87606344686546,116.45580678132352,253.44095131122643,112.5435871204214,234.66229693889628,221.30329369350008,317.6013537500213,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_493.png,,,216.60863010041757,308.9944704960367,182.18109708447898,235.4447408710769,170.44443810177265,212.75386683784464,203.30708325335038,220.57830615964892,157.9253351868859,247.18139985378318,211.1315225751546,251.0936195146854,169.66199416959222,258.13561490430914,114.89091891696268,303.51736297077343,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_699.png,124.28024610312772,185.36832921152975,337.887439588383,302.7349190385936,343.3645471136459,216.6660864987472,298.7652429793619,197.10498819423654,338.6698835205634,204.92942751604087,260.4254903025212,251.09361951468557,329.28055633439834,269.8722738870159,271.3797053530471,282.3913768019024,126.627577899669,207.27675931258156,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_742.png,130.53979756057112,200.2347639229578,288.5934718610164,284.73870859844374,204.0895271855308,226.05541368491188,172.7917698983139,201.0172078551383,194.70019999936574,203.36453965167962,133.6695732892928,242.48673626070055,186.0933167453811,245.61651198942238,163.40244271214885,255.0058391755874,287.0285839966555,280.8264889375416,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_770.png,199.39486359244827,107.90637992566818,286.2461400644751,283.95626466626334,269.03237355650583,107.12393599348795,246.3414995232736,116.51326317965291,274.5094810817688,118.86059497619428,229.91017694748473,206.49431538040145,266.6850417599646,215.88364256656658,234.60484054056727,227.62030154927285,198.61241966026785,282.3913768019023,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_827.png,466.99068839815266,72.69640297754992,614.8725915802526,308.9944704960378,602.3534886653657,79.73839836717406,574.1855071068705,83.65061802807611,574.1855071068705,83.65061802807611,605.4832643940873,253.4409513112278,558.5366284632621,237.79207266761918,553.0595209379992,258.91805883649056,478.727347380859,277.6967132088205,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_side_view_4_2022-08-10_15-39-03_989.png,128.97490969621026,196.32254426205563,326.9332245378571,288.65092825934596,133.6695732892928,212.75386683784453,153.23067159380335,205.71187144822076,150.10089586508167,195.5401003298753,192.35286820282448,237.7920726676182,211.1315225751546,235.44474087107696,222.0857376256805,249.5287316503246,323.021004876955,283.17382073408317,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_1004.png,,,,,,,,,,,,,,,,,199.39486359244827,153.2881279921326,259.64304637034076,335.59756419017117,241.64683593019106,336.38000812235157,243.99416772673234,312.9066901569389,213.47885437169586,313.6891340891192,256.5132706416191,254.22339524340723,203.30708325335038,255.7882831077679,225.2155133544022,222.9256379561903,245.55905559109317,154.8530158564936,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_434.png,,,,,,,,,,,,,206.43685898207207,254.2233952434071,,,242.42927986237154,157.98279158521532,194.7001999993657,150.9407961955914,259.6430463703408,326.99068093618655,181.39865315229855,318.3837976822017,195.48264393154614,316.8189098178409,180.61620922011815,294.91047971678904,252.60105098071696,276.13182534445906,,,237.73461626928895,233.87985300671622,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_438.png,302.677462640264,147.81102046686996,456.8189172798072,334.8151202579912,431.78071145003366,332.4677884614499,452.1242536867246,301.17003117423315,416.9142767386056,299.6051433098721,451.3418097545442,233.8798530067168,399.7005102306363,237.00962873543833,405.96006168807975,196.32254426205643,314.41412162297036,168.15456270356097,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_584.png,84.3756055619262,179.89122168626668,294.8530233184598,355.15866249468183,83.5931616297458,301.9524751064125,126.627577899669,280.0440450053608,96.89470847681297,258.1356149043089,186.0933167453811,318.3837976822017,169.66199416959222,284.7387085984435,190.0055364062832,286.3035964628043,266.6850417599646,222.9256379561904,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_619.png,67.94428298613734,152.50568405995185,156.36044732252506,323.8609052074645,128.19246576402986,309.77691442821686,136.01690508583405,285.5211525306238,101.5893720698955,301.95247510641275,128.97490969621026,228.40274548145297,80.4633859010241,215.88364256656607,112.5435871204214,193.97521246551432,136.01690508583408,179.1087777540864,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_699.png,174.35665776267476,93.82238914642048,344.1469910458264,229.9676333458144,234.60484054056727,110.25371172220954,197.82997572808742,118.86059497619405,224.4330694222218,131.3796978910809,188.44064854192237,175.19655809318445,229.1277330153043,180.67366561844747,225.99795728658262,201.01720785513848,331.6278881309396,210.40653504130378,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_768.png,404.3951738237189,194.75765639769557,555.4068527345404,352.0288867659608,520.9793197186018,341.07467171543476,539.757974090932,296.47536758115086,494.3762260244674,301.95247510641366,536.6281983622102,265.9600542261144,492.0288942279262,265.17761029393375,511.5899925324367,245.6165119894233,424.73871606040984,204.9294275160411,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_843.png,461.5135808728897,194.75765639769574,639.1283534778456,355.94110642686314,635.2161338169435,294.9104797167902,603.1359325975462,259.7005027686712,587.4870539539377,304.2998069029552,544.4526376840145,292.56314792024875,513.9373243289781,320.7311294787438,522.5442075829627,292.56314792024864,483.4220109739415,204.92942751604127,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_in_a_new_cage_top_view_1_2022-08-10_15-39-00_855.png,164.96733057650968,106.3414920613072,365.2729772146978,226.05541368491234,180.61620922011815,172.84922629664314,183.74598494883983,158.76523551739555,182.18109708447898,141.55146900942626,243.99416772673234,165.0247869748391,243.21172379455192,123.55525856927673,275.2919250139492,148.5934643990503,353.53631823199146,213.53631077002555,,,,,,,,,,,,,,,,,,
labeled-data,0085,A_male_meet_with_a_female_face_view_3_2022-08-10_15-43-17_1033.png,283.1163643357534,180.67366561844764,383.2691876548475,282.39137680190265,359.7958696894348,201.79965178731922,343.3645471136459,182.23855348280867,371.53252867214115,186.15077314371084,310.50190196206825,218.23097436310795,342.5821031814655,228.40274548145354,309.7194580298878,232.3149651423556,288.5934718610164,279.2616010731808,,,,,,,,,,,,,,,,,,
